transID;corridorID;corridorName;tapInStops;tapInStopsName;tapInStopsLat;tapInStopsLon;tapInTime;tapOutStops;tapOutStopsName;tapOutStopsLat;tapOutStopsLon;tapOutTime
EIIW227B8L34VB;5      ;Matraman Baru - Ancol                     ;P00142 ;Pal Putih                       ;-6.184631;106.84402;4/3/2023 5:21;P00253 ;Tegalan                    ;-6.203101;106.85715;4/3/2023 6:00
LGXO740D2N47GZ;6C     ;Stasiun Tebet - Karet via Patra Kuningan  ;B01963P;Kemenkes 2                      ;-6.2287;106.83302;4/3/2023 5:42;B03307P;Sampoerna Strategic        ;-6.217152;106.81892;4/3/2023 6:40
DJWR385V2U57TO;R1A    ;Pantai Maju - Kota                        ;B00499P;Gg. Kunir II                    ;-6.133132;106.81435;4/3/2023 5:59;B04962P;Simpang Kunir Kemukus      ;-6.133731;106.81475;4/3/2023 6:50
JTUZ800U7C86EH;11D    ;Pulo Gebang - Pulo Gadung 2 via PIK       ;B05587P;Taman Elok 1                    ;-6.195743;106.93526;4/3/2023 5:44;B03090P;Raya Penggilingan          ;-6.183068;106.93194;4/3/2023 6:28
VMLO535V7F95NJ;12     ;Tanjung Priok - Pluit                     ;P00239 ;Sunter Boulevard Barat          ;-6.14965;106.889;4/3/2023 6:17;P00098 ;Kali Besar Barat           ;-6.135355;106.81143;4/3/2023 6:57
DDES630K2F80KC;1T     ;Cibubur - Balai Kota                      ;B00127P;Benhil 3                        ;-6.21601;106.81632;4/3/2023 5:08;B00694P;Grand Sahid                ;-6.210975;106.82059;4/3/2023 5:52
XTKE052E5E87LN;;;B03416P;SDN Pondok Labu 11              ;-6.313269;106.80221;4/3/2023 6:44;B00899P;Jln. Baros                 ;-6.311046;106.784;4/3/2023 7:11
OIHS248V7S72EB;B14    ;Bekasi Barat - Kuningan                   ;B00795P;Imperium                        ;-6.210363;106.83059;4/3/2023 6:01;B01853P;Kayuringin 2               ;-6.245948;106.99247;4/3/2023 6:51
ERXO372B2H63RB;1Q     ;Rempoa - Blok M                           ;B05781P;TPU Bungur                      ;-6.247208;106.77889;4/3/2023 5:57;B06578P;Blok M Jalur 3             ;-6.243426;106.80188;4/3/2023 6:51
CLWK627W2M22WO;5M     ;Kampung Melayu - Tanah Abang via Cikini   ;B05433P;Pegangsaan Timur                ;-6.199263;106.84205;4/3/2023 6:32;B02387P;Matraman 4                 ;-6.199782;106.8545;4/3/2023 7:23
IIEK980X1O23NZ;M7B    ;BKN - Blok M                              ;P00254 ;Tendean                         ;-6.240213;106.83102;4/3/2023 6:22;P00129 ;Mampang Prapatan           ;-6.242699;106.82572;4/3/2023 6:50
OPLW560U3S06UG;9A     ;PGC 2 - Grogol 2                          ;P00281 ;Slipi Petamburan Arah Selatan   ;-6.201948;106.79998;4/3/2023 6:15;P00216 ;Semanggi                   ;-6.22111;106.81354;4/3/2023 7:08
XESX233R4U46DN;4      ;Pulo Gadung 2 - Tosari                    ;P00159 ;Pasar Rumput                    ;-6.207125;106.84112;4/3/2023 6:12;P00135 ;Matraman 2                 ;-6.19891;106.8545;4/3/2023 7:07
LZFD368Q3E81HJ;JAK.46 ;Pasar Minggu - Jagakarsa                  ;B00608P;Gelanggang Remaja Pasar Minggu  ;-6.284615;106.83787;4/3/2023 5:38;B01062P;Jln. Gabus Raya            ;-6.301222;106.83623;4/3/2023 6:09
KLUN542I2F21PI;S22    ;Ciputat - Kampung Rambutan                ;B05291P;SMK Darussalam                  ;-6.319946;106.74598;4/3/2023 6:43;B03032P;Pusdiklat Kemenag 1        ;-6.312075;106.75228;4/3/2023 7:07
XDMP644Z5Y29DB;13     ;Ciledug - Tendean                         ;P00096 ;JORR                            ;-6.236104;106.75488;4/3/2023 6:49;P00001 ;Adam Malik                 ;-6.236466;106.74786;4/3/2023 7:47
